,index,queries,topic,persona
0,1,Antarctica,11,edith
1,2,systematic exploration,11,edith
2,3,scientific investigations,11,edith
3,4,seismology,11,edith
4,5,ionospheric physics,11,edith
5,6,economic development,11,edith
6,7,research in Antarctica,11,edith
7,8,planned research in Antarctica,11,edith
8,9,mineral mining ban Antarctica,11,edith
9,10,impact mineral mining Antarctica,11,edith
0,1,journalist risks,12,edith
1,2,journalist killed instances,12,edith
2,3,journalist arrested instances,12,edith
3,4,journalist taken hostage instances,12,edith
4,5,nature of journalist risks,12,edith
5,6,cause of journalist risks,12,edith
6,7,impact of journalist risks,12,edith
7,8,mitigating journalist risks,12,edith
8,9,history of journalist risks,12,edith
9,10,current journalist risks,12,edith
0,1,ocean remote sensing,13,edith
1,2,space-borne ocean remote sensing,13,edith
2,3,ocean remote sensing development,13,edith
3,4,ocean remote sensing application,13,edith
4,5,oceanography,13,edith
5,6,seabed prospecting,13,edith
6,7,marine-science,13,edith
7,8,satellite remote sensing,13,edith
8,9,synthetic aperture radar,13,edith
9,10,SAR relevance ocean remote sensing,13,edith
0,1,postmenopausal estrogen,14,edith
1,2,effects of estrogen,14,edith
2,3,estrogen use in Britain,14,edith
3,4,benefits of estrogen,14,edith
4,5,risks of estrogen,14,edith
5,6,hormone replacement therapy,14,edith
6,7,estrogen suppressing drugs development,14,edith
7,8,estrogen suppressing drugs marketing,14,edith
8,9,estrogen suppressing drugs side effects,14,edith
9,10,alternatives to estrogen suppressing drugs,14,edith
0,1,human smuggling,15,edith
1,2,incidents of human smuggling,15,edith
2,3,monetary gain from human smuggling,15,edith
3,4,willing participants in human smuggling,15,edith
4,5,consequences of human smuggling,15,edith
5,6,legal implications of human smuggling,15,edith
6,7,history of human smuggling,15,edith
7,8,impact of human smuggling on society,15,edith
8,9,law enforcement and human smuggling,15,edith
9,10,common routes for human smuggling,15,edith
0,1,Antarctica exploration history,11,john
1,2,Antarctica scientific investigations,11,john
2,3,Antarctica systematic explorations,11,john
3,4,Antarctica current research,11,john
4,5,Antarctica future research,11,john
5,6,Antarctica economic development potential,11,john
6,7,Antarctica mineral mining policy,11,john
7,8,Antarctica tourism impact,11,john
8,9,Antarctica disrupting scientific experiments consequences,11,john
9,10,Antarctica specific scientific experiments disrupted,11,john
0,1,journalist risks,12,john
1,2,common journalist risks,12,john
2,3,likelihood of journalist risks,12,john
3,4,reasons for journalist risks,12,john
4,5,consequences of journalist risks,12,john
5,6,protecting journalists,12,john
6,7,legal framework for journalists,12,john
7,8,government role in protecting journalists,12,john
8,9,media role in protecting journalists,12,john
