,index,queries,topic,persona
0,1,oceanographic vessels,26,edith
1,2,undersea mapping,26,edith
2,3,oceanographic vessels global warming monitoring,26,edith
3,4,marine environmental monitoring,26,edith
4,5,deep sea robots sunken ships,26,edith
5,6,oceanographic vessel equipment,26,edith
6,7,oceanographic vessel equipment research development,26,edith
7,8,oceanic resources,26,edith
8,9,oceanographic vessels exploring oceanic resources,26,edith
9,10,survey ship oceanographic activity,26,edith
0,1,Amazon rain forest,27,edith
1,2,official organizations institutions,27,edith
2,3,measures to preserve,27,edith
3,4,degrees of success,27,edith
4,5,individuals roles,27,edith
5,6,challenges in preservation,27,edith
6,7,consequences of not preserving,27,edith
7,8,history of Amazon rain forest,27,edith
8,9,economic benefits of preservation,27,edith
9,10,cultural significance to South America,27,edith
0,1,Ireland peace talks history,28,edith
1,2,peace talks violence disruption,28,edith
2,3,causes peace talk disruption,28,edith
3,4,Ireland peace talk outcomes,28,edith
4,5,current status peace talks,28,edith
5,6,violence role peace talks,28,edith
6,7,challenges peace talks,28,edith
7,8,key players peace talks,28,edith
8,9,terms peace agreement Ireland,28,edith
9,10,impact peace agreement Ireland,28,edith
0,1,tropical storms,29,edith
1,2,hurricanes vs typhoons,29,edith
2,3,tropical storms property damage,29,edith
3,4,tropical storms loss of life,29,edith
4,5,recent tropical storm date,29,edith
5,6,tropical storm affected areas,29,edith
6,7,tropical storm damage extent,29,edith
7,8,tropical storm casualties number,29,edith
8,9,destructive tropical storms history,29,edith
9,10,approaching tropical storm warning signs,29,edith
0,1,Cuba sugar trade,30,edith
1,2,Cuba sugar export,30,edith
2,3,Cuba sugar export countries,30,edith
3,4,Cuba sugar trade history,30,edith
4,5,Cuba sugar export benefits,30,edith
5,6,Cuba sugar export environment,30,edith
6,7,Cuba sugar export society,30,edith
7,8,Cuba sugar trade future,30,edith
8,9,Cuba sugar export challenges,30,edith
9,10,US sanctions Cuba sugar export,30,edith
0,1,oceanographic vessels,26,john
1,2,undersea mapping,26,john
2,3,global warming monitoring,26,john
3,4,marine environmental monitoring,26,john
4,5,deep sea robots,26,john
5,6,deep sea robots use,26,john
6,7,oceanographic vessels sunken ships,26,john
7,8,oceanographic vessels equipment research development,26,john
