,index,queries,topic,persona
0,1,heroic acts,41,edith
1,2,selfless heroic acts,41,edith
2,3,individual heroic acts,41,edith
3,4,group heroic acts,41,edith
4,5,benefit of heroic acts,41,edith
5,6,who benefits from heroic acts,41,edith
6,7,cause of heroic acts,41,edith
7,8,selflessness in heroic acts,41,edith
8,9,impact of heroic acts,41,edith
9,10,characteristics of heroic individuals,41,edith
0,1,U.S. investment sub-Saharan Africa,42,edith
1,2,U.S. government investment sub-Saharan Africa,42,edith
2,3,private investment sub-Saharan Africa,42,edith
3,4,U.S. assistance sub-Saharan Africa,42,edith
4,5,U.S. membership aid organizations,42,edith
5,6,impact U.S. investment sub-Saharan Africa,42,edith
6,7,challenges investing sub-Saharan Africa,42,edith
7,8,success stories U.S. investment sub-Saharan Africa,42,edith
8,9,future prospects U.S. investment sub-Saharan Africa,42,edith
9,10,risks U.S. investment sub-Saharan Africa,42,edith
0,1,women clergy role,43,edith
1,2,countries with women pastors,43,edith
2,3,countries considering women pastors,43,edith
3,4,installing women as pastors,43,edith
4,5,women clergy history,43,edith
5,6,challenges for women pastors,43,edith
6,7,impact of women clergy,43,edith
7,8,United States women pastors,43,edith
8,9,women pastors vs other capacities,43,edith
9,10,current state women clergy worldwide,43,edith
0,1,Flavr Savr tomato,44,edith
1,2,Flavr Savr tomato developer,44,edith
2,3,Flavr Savr tomato market,44,edith
3,4,unique Flavr Savr tomato,44,edith
4,5,benefits Flavr Savr tomato,44,edith
5,6,drawbacks Flavr Savr tomato,44,edith
6,7,history genetically modified food,44,edith
7,8,Calgene genetically modified food,44,edith
8,9,regulations genetically modified food,44,edith
9,10,current status Flavr Savr tomato,44,edith
0,1,France nuclear testing history,45,edith
1,2,South Pacific definition,45,edith
2,3,nuclear testing effects,45,edith
3,4,South Pacific nuclear testing history,45,edith
4,5,France nuclear testing protests,45,edith
5,6,France response to nuclear testing protests,45,edith
6,7,France nuclear testing current status,45,edith
7,8,international response to France nuclear testing,45,edith
8,9,France nuclear testing environmental impact,45,edith
9,10,France nuclear testing political impact,45,edith
0,1,heroic acts,41,john
1,2,selfless acts,41,john
2,3,examples of heroic acts,41,john
3,4,examples of selfless acts,41,john
4,5,individual heroic acts,41,john
5,6,small group heroic acts,41,john
6,7,acts that benefit others,41,john
7,8,acts that benefit a cause,41,john
8,9,characteristics of heroic acts,41,john
9,10,motivations for heroic acts,41,john
0,1,U.S. investment sub-Saharan Africa extent,42,john
1,2,U.S. government investment sub-Saharan Africa,42,john
2,3,private sector investment sub-Saharan Africa,42,john
3,4,U.S. assistance sub-Saharan Africa extent,42,john
4,5,U.S. contributions sub-Saharan Africa,42,john
5,6,U.S. international aid organizations sub-Saharan Africa,42,john
6,7,nature U.S. investment sub-Saharan Africa,42,john
7,8,impact U.S. investment sub-Saharan Africa,42,john
8,9,challenges U.S. investment sub-Saharan Africa,42,john
9,10,future U.S. investment sub-Saharan Africa,42,john
0,1,women in the church,43,john
1,2,countries with women pastors,43,john
2,3,countries considering women pastors,43,john
3,4,installing women pastors,43,john
4,5,history of women in clergy,43,john
5,6,qualifications for women pastors,43,john
6,7,church approval of women pastors,43,john
7,8,women in US church,43,john
8,9,current state of women clergy,43,john
9,10,challenges for women clergy,43,john
0,1,Flavr Savr tomato,44,john
1,2,Flavr Savr tomato developer,44,john
2,3,Flavr Savr tomato market introduction,44,john
3,4,genetically modified food definition,44,john
4,5,unique features Flavr Savr tomato,44,john
5,6,benefits Flavr Savr tomato,44,john
6,7,risks Flavr Savr tomato,44,john
7,8,Calgene role Flavr Savr tomato,44,john
8,9,public perception Flavr Savr tomato,44,john
9,10,current status Flavr Savr tomato,44,john
0,1,France nuclear testing history,45,john
1,2,protests against France nuclear testing,45,john
2,3,France response to protests,45,john
3,4,South Pacific response to France nuclear testing,45,john
4,5,consequences of France nuclear testing,45,john
5,6,current status France nuclear testing,45,john
6,7,legal framework France nuclear testing,45,john
7,8,environmental impact France nuclear testing,45,john
8,9,political impact France nuclear testing,45,john
9,10,social impact France nuclear testing,45,john
0,1,heroic acts definition,41,karen
1,2,examples of heroic acts,41,karen
2,3,selfless acts,41,karen
3,4,individual heroic acts,41,karen
4,5,small group heroic acts,41,karen
5,6,benefits of heroic acts,41,karen
6,7,causes benefited by heroic acts,41,karen
7,8,recent heroic acts,41,karen
8,9,impact of heroic acts,41,karen
9,10,motivation for heroic acts,41,karen
0,1,U.S. investment sub-Saharan Africa,42,karen
1,2,U.S. government investment sub-Saharan Africa,42,karen
2,3,private U.S. investment sub-Saharan Africa,42,karen
3,4,impact U.S. investment sub-Saharan Africa,42,karen
4,5,U.S. contributions international aid sub-Saharan Africa,42,karen
5,6,U.S. contributions aid organizations sub-Saharan Africa,42,karen
6,7,history U.S. investment sub-Saharan Africa,42,karen
7,8,challenges U.S. investment sub-Saharan Africa,42,karen
8,9,benefits U.S. investment sub-Saharan Africa,42,karen
9,10,future U.S. investment sub-Saharan Africa,42,karen
0,1,women in the church,43,karen
1,2,countries with women clergy,43,karen
2,3,installing women as clergy,43,karen
3,4,church pastor role,43,karen
4,5,countries considering women clergy,43,karen
5,6,countries with approved women clergy,43,karen
6,7,nun vs clergy,43,karen
7,8,history of women in clergy,43,karen
8,9,challenges for women clergy,43,karen
9,10,impact of women clergy,43,karen
0,1,Flavr Savr tomato,44,karen
1,2,Flavr Savr tomato developer,44,karen
2,3,Flavr Savr tomato market,44,karen
3,4,unique Flavr Savr tomato,44,karen
4,5,benefits Flavr Savr tomato,44,karen
5,6,drawbacks Flavr Savr tomato,44,karen
6,7,genetically modified food process,44,karen
7,8,Calgene genetically modified food,44,karen
8,9,public opinion genetically modified food,44,karen
9,10,future genetically modified food,44,karen
0,1,France nuclear testing history,45,karen
1,2,protests against France nuclear testing,45,karen
2,3,France response to nuclear testing protests,45,karen
3,4,impact of France nuclear testing South Pacific,45,karen
4,5,current status France nuclear testing,45,karen
5,6,environmental consequences France nuclear testing,45,karen
6,7,political impact France nuclear testing,45,karen
7,8,public opinion France nuclear testing,45,karen
8,9,international response France nuclear testing,45,karen
9,10,legal status France nuclear testing,45,karen
0,1,heroic act definition,41,markus
1,2,heroic act examples,41,markus
2,3,selfless act definition,41,markus
3,4,selfless heroic acts,41,markus
4,5,heroic vs selfless acts,41,markus
5,6,individual heroic acts,41,markus
6,7,small group heroic acts,41,markus
7,8,heroic acts that benefit others,41,markus
8,9,heroic acts that benefit a cause,41,markus
9,10,accounts of selfless heroic acts,41,markus
0,1,U.S. investment sub-Saharan Africa,42,markus
1,2,U.S. invest sub-Saharan Africa,42,markus
2,3,U.S. governmental investment sub-Saharan Africa,42,markus
3,4,U.S. private investment sub-Saharan Africa,42,markus
4,5,U.S. contributions sub-Saharan Africa,42,markus
5,6,U.S. contributions international aid sub-Saharan Africa,42,markus
6,7,nature U.S. investment sub-Saharan Africa,42,markus
7,8,benefits U.S. investment sub-Saharan Africa,42,markus
8,9,challenges U.S. investment sub-Saharan Africa,42,markus
9,10,impact U.S. investment sub-Saharan Africa,42,markus
0,1,women church role,43,markus
1,2,clergy definition,43,markus
2,3,women church pastors,43,markus
3,4,countries women pastors,43,markus
4,5,installing women pastors,43,markus
5,6,women clergy history,43,markus
6,7,women clergy challenges,43,markus
7,8,women clergy impact,43,markus
8,9,nun vs church pastor,43,markus
9,10,US women clergy current,43,markus
0,1,Flavr Savr tomato,44,markus
1,2,Calgene Flavr Savr,44,markus
2,3,Flavr Savr tomato market,44,markus
3,4,Flavr Savr tomato differences,44,markus
4,5,Flavr Savr tomato public reaction,44,markus
5,6,Flavr Savr tomato impact,44,markus
6,7,Flavr Savr tomato current status,44,markus
7,8,Flavr Savr tomato benefits,44,markus
8,9,Flavr Savr tomato drawbacks,44,markus
9,10,future of genetically modified food,44,markus
0,1,nuclear testing,45,markus
1,2,France nuclear testing history,45,markus
2,3,protests against France nuclear testing,45,markus
3,4,France response to nuclear testing protests,45,markus
4,5,France nuclear testing South Pacific,45,markus
5,6,consequences France nuclear testing South Pacific,45,markus
6,7,current status France nuclear testing,45,markus
7,8,public opinion France nuclear testing,45,markus
8,9,impact France nuclear testing environment,45,markus
9,10,international response France nuclear testing,45,markus
