,index,queries,topic,persona
0,1,airport security,6,edith
1,2,airport security steps,6,edith
2,3,new airport security steps,6,edith
3,4,airport security effectiveness,6,edith
4,5,carry-on baggage screening,6,edith
5,6,baggage compartment screening,6,edith
6,7,passenger screening measures,6,edith
7,8,international flight screening measures,6,edith
8,9,domestic flight screening measures,6,edith
9,10,terrorism screening measures,6,edith
0,1,E-Mail abuse,7,edith
1,2,types of E-Mail abuse,7,edith
2,3,cost of E-Mail,7,edith
3,4,E-Mail payer,7,edith
4,5,desired uses of E-Mail,7,edith
5,6,excesses of E-Mail,7,edith
6,7,preventing E-Mail abuse,7,edith
7,8,world-wide E-Mail abuse prevention,7,edith
8,9,consequences of E-Mail abuse,7,edith
9,10,preventing E-Mail abuse methods,7,edith
0,1,overseas tobacco sales,8,edith
1,2,impact of health on U.S. tobacco sales,8,edith
2,3,impact of economy on U.S. tobacco sales,8,edith
3,4,impact of health on overseas tobacco sales,8,edith
4,5,impact of economy on overseas tobacco sales,8,edith
5,6,reasons for increase in overseas tobacco sales,8,edith
6,7,reasons for decrease in overseas tobacco sales,8,edith
7,8,role of U.S. companies in overseas tobacco sales,8,edith
8,9,role of foreign companies in overseas tobacco sales,8,edith
9,10,impact of aggressive marketing on overseas tobacco sales,8,edith
0,1,wildlife extinction,9,edith
1,2,countries preventing wildlife extinction,9,edith
2,3,endangered species,9,edith
3,4,steps to save species,9,edith
4,5,impact of wildlife extinction,9,edith
5,6,human role in wildlife extinction,9,edith
6,7,consequences of wildlife extinction,9,edith
7,8,history of wildlife extinction,9,edith
8,9,current trends in wildlife extinction,9,edith
9,10,future prospects for wildlife extinction,9,edith
0,1,physical disorders computer terminals,10,edith
1,2,common physical disorders computer terminals,10,edith
2,3,hazards computer terminals,10,edith
3,4,alleviate health problems computer terminals,10,edith
4,5,long-term effects computer terminals health,10,edith
5,6,common health problems computer terminals,10,edith
6,7,prevent health problems computer terminals,10,edith
7,8,research health effects computer terminals,10,edith
8,9,symptoms physical disorders computer terminals,10,edith
9,10,risk factors physical disorders computer terminals,10,edith
0,1,airport security,6,john
1,2,airport security steps,6,john
2,3,domestic vs international flight security,6,john
3,4,carry-on baggage screening,6,john
4,5,terrorism and airport security,6,john
5,6,additional steps for flight safety,6,john
6,7,enhanced security definition,6,john
7,8,airport security personnel,6,john
8,9,automated screening processes,6,john
9,10,effectiveness of airport security,6,john
0,1,E-Mail abuse examples,7,john
1,2,E-Mail cost,7,john
2,3,E-Mail payer,7,john
3,4,E-Mail desired use,7,john
4,5,E-Mail abuse prevention,7,john
5,6,system user E-Mail abuse,7,john
6,7,E-Mail abuse consequences,7,john
7,8,E-Mail abuse legal implications,7,john
8,9,E-Mail abuse ethical implications,7,john
